Roll_No,Total_Enrolled,Total_Released,Total_Present,Total_Absent,Rows,Bad_Rows,Effective_Enrolled,Attendance_Percent,Proxy_Soft_Outlier,Proxy_Row_Score,Proxy_Row_Incidents,Proxy_Row_Reasons_Collected,Proxy_Risk_Score,Proxy_Reasons
517,481,0,449,32,1,0,481,93.34719334719335,FALSE,0,0,[],0,None
518,481,0,441,40,1,0,481,91.68399168399168,FALSE,0,0,[],0,None
519,480,0,435,45,1,0,480,90.625,FALSE,0,0,[],0,None
520,480,0,445,35,1,0,480,92.70833333333333,FALSE,0,0,[],0,None
521,480,0,440,40,1,0,480,91.66666666666667,FALSE,0,0,[],0,None
522,480,0,424,56,1,0,480,88.33333333333333,FALSE,0,0,[],0,None
523,482,0,427,55,1,0,482,88.58921161825727,FALSE,0,0,[],0,None
524,482,0,459,23,1,0,482,95.22821576763485,FALSE,0,0,[],0,None
525,482,0,430,52,1,0,482,89.21161826,FALSE,0,0,[],0,None
526,482,0,430,52,1,0,482,89.21161826,FALSE,0,0,[],0,None
527,481,0,444,37,1,0,481,92.30769231,FALSE,0,0,[],0,None
528,481,0,431,50,1,0,481,89.60498960498961,FALSE,0,0,[],0,None
529,481,0,433,48,1,0,481,90.02079002079002,FALSE,0,0,[],0,None
530,481,0,422,59,1,0,481,87.73388773388774,FALSE,0,0,[],0,None
531,481,0,391,90,1,0,481,81.28898128898129,FALSE,0,0,[],0,None
532,481,0,386,95,1,0,481,80.24948024948024,FALSE,0,0,[],0,None
533,481,0,362,119,1,0,481,75.25987525987526,FALSE,0,0,[],0,None
534,481,0,368,113,1,0,481,76.50727651,FALSE,0,0,[],0,None
535,308,0,249,59,1,0,308,80.84415584415585,FALSE,0,0,[],0,None
536,312,0,276,36,1,0,312,88.46153846153847,FALSE,0,0,[],0,None
537,312,0,277,35,1,0,312,88.78205128205128,FALSE,0,0,[],0,None
538,314,0,294,20,1,0,314,93.63057324840764,FALSE,0,0,[],0,None
539,312,0,277,35,1,0,312,88.78205128205128,FALSE,0,0,[],0,None
540,312,0,286,26,1,0,312,91.66666666666667,FALSE,0,0,[],0,None
541,307,0,282,25,1,0,307,91.85667752442997,FALSE,0,0,[],0,None
542,308,0,277,31,1,0,308,89.93506493506493,FALSE,0,0,[],0,None
543,308,0,281,27,1,0,308,91.23376623376623,FALSE,0,0,[],0,None
544,306,0,277,29,1,0,306,90.52287581699346,FALSE,0,0,[],0,None
545,305,0,279,26,1,0,305,91.47540983606558,FALSE,0,0,[],0,None
546,303,0,271,32,1,0,303,89.43894389438944,FALSE,0,0,[],0,None
547,303,0,274,29,1,0,303,90.42904290429043,FALSE,0,0,[],0,None
548,303,0,288,15,1,0,303,95.04950495049505,FALSE,0,0,[],0,None
549,303,0,259,44,1,0,303,85.47854785478548,FALSE,0,0,[],0,None
550,303,0,275,28,1,0,303,90.75907590759076,FALSE,0,0,[],0,None
551,306,0,281,25,1,0,306,91.83006535947712,FALSE,0,0,[],0,None
552,305,0,293,12,1,0,305,96.06557377049181,FALSE,0,0,[],0,None
553,305,15,278,12,1,0,290,95.86206896551724,FALSE,0,0,[],0,None
554,304,0,278,26,1,0,304,91.44736842105263,FALSE,0,0,[],0,None
555,304,0,275,29,1,0,304,90.46052631578948,FALSE,0,0,[],0,None
556,304,0,282,22,1,0,304,92.76315789473684,FALSE,0,0,[],0,None
557,304,0,284,20,1,0,304,93.42105263157895,FALSE,0,0,[],0,None
558,304,0,285,19,1,0,304,93.75,FALSE,0,0,[],0,None
559,304,0,276,28,1,0,304,90.78947368421052,FALSE,0,0,[],0,None
560,303,0,287,16,1,0,303,94.71947194719472,FALSE,0,0,[],0,None
561,303,0,282,21,1,0,303,93.06930693069307,FALSE,0,0,[],0,None
562,303,0,280,23,1,0,303,92.40924092409242,FALSE,0,0,[],0,None
563,303,0,282,21,1,0,303,93.06930693069307,FALSE,0,0,[],0,None
564,303,0,272,31,1,0,303,89.76897689768977,FALSE,0,0,[],0,None
565,303,0,282,21,1,0,303,93.06930693069307,FALSE,0,0,[],0,None
566,303,0,280,23,1,0,303,92.40924092409242,FALSE,0,0,[],0,None
567,303,0,285,18,1,0,303,94.05940594059406,FALSE,0,0,[],0,None
568,303,0,273,30,1,0,303,90.0990099,FALSE,0,0,[],0,None
569,304,0,273,31,1,0,304,89.80263157894737,FALSE,0,0,[],0,None
570,305,0,280,25,1,0,305,91.80327868852459,FALSE,0,0,[],0,None
571,305,0,260,45,1,0,305,85.24590163934427,FALSE,0,0,[],0,None
572,305,0,285,20,1,0,305,93.44262295081967,FALSE,0,0,[],0,None
573,305,0,274,31,1,0,305,89.83606557,FALSE,0,0,[],0,None
574,305,0,273,32,1,0,305,89.50819672131148,FALSE,0,0,[],0,None
575,305,0,285,20,1,0,305,93.44262295081967,FALSE,0,0,[],0,None
576,305,0,286,19,1,0,305,93.77049180327869,FALSE,0,0,[],0,None
577,305,0,269,36,1,0,305,88.19672131147541,FALSE,0,0,[],0,None
578,305,0,275,30,1,0,305,90.16393443,FALSE,0,0,[],0,None
579,305,0,284,21,1,0,305,93.11475409836065,FALSE,0,0,[],0,None
580,305,0,223,82,1,0,305,73.11475409836065,FALSE,0,0,[],0,None
581,305,0,248,57,1,0,305,81.31147540983606,FALSE,0,0,[],0,None
582,307,0,287,20,1,0,307,93.48534201954398,FALSE,0,0,[],0,None
583,307,0,290,17,1,0,307,94.46254071661238,FALSE,0,0,[],0,None
584,307,0,252,55,1,0,307,82.08469055374593,FALSE,0,0,[],0,None
585,307,0,282,25,1,0,307,91.85667752442997,FALSE,0,0,[],0,None
586,308,0,289,19,1,0,308,93.83116883116882,FALSE,0,0,[],0,None
587,308,0,287,21,1,0,308,93.18181818181819,FALSE,0,0,[],0,None
588,308,0,290,18,1,0,308,94.15584415584415,FALSE,0,0,[],0,None
589,308,1,283,24,1,0,307,92.18241042345277,FALSE,0,0,[],0,None
590,306,1,275,30,1,0,305,90.16393443,FALSE,0,0,[],0,None
591,306,0,275,31,1,0,306,89.86928104575163,FALSE,0,0,[],0,None
592,306,0,280,26,1,0,306,91.50326797385621,FALSE,0,0,[],0,None
